anchor,positive,negative,a_label,p_label,n_label
data/validate/01/1_fish_000017499598_05670.png,data/validate/01/1_fish_000102369598_06884.png,data/validate/04/4_fish_003903796329_13646.png,0,0,3
data/validate/01/1_fish_004227376913_26698.png,data/validate/01/1_fish_003933836405_24526.png,data/validate/04/4_fish_004086076713_19895.png,0,0,3
data/validate/01/1_fish_000039059598_05863.png,data/validate/01/1_fish_003426495286_18156.png,data/validate/03/3_fish_003709385845_18012.png,0,0,2
data/validate/01/1_fish_000069349598_06300.png,data/validate/01/1_fish_003455745311_16571.png,data/validate/03/3_fish_004154956805_12493.png,0,0,2
data/validate/01/1_fish_003474605342_14147.png,data/validate/01/1_fish_000026270001_02459.png,data/validate/05/5_fish_003595745589_20820.png,0,0,4
data/validate/01/1_fish_004176116832_16628.png,data/validate/01/1_fish_000093829598_06694.png,data/validate/03/3_fish_004342147064_17921.png,0,0,2
data/validate/01/1_fish_004511837302_10148.png,data/validate/01/1_fish_000004380001_00162.png,data/validate/03/3_fish_000011349596_03938.png,0,0,2
data/validate/01/1_fish_000004860001_00613.png,data/validate/01/1_fish_000004600001_00372.png,data/validate/02/2_fish_004502257285_14738.png,0,0,1
data/validate/01/1_fish_003690385794_24337.png,data/validate/01/1_fish_004548747375_20415.png,data/validate/02/2_fish_000037299596_04280.png,0,0,1
data/validate/01/1_fish_004569167401_16505.png,data/validate/01/1_fish_000007240001_00945.png,data/validate/02/2_fish_000013740001_01384.png,0,0,1
data/validate/01/1_fish_003695685806_24753.png,data/validate/01/1_fish_004544337366_20790.png,data/validate/02/2_fish_003827506157_12189.png,0,0,1
data/validate/01/1_fish_000004420001_00193.png,data/validate/01/1_fish_003776196026_21014.png,data/validate/02/2_fish_003755965976_26806.png,0,0,1
data/validate/01/1_fish_003796736085_13836.png,data/validate/01/1_fish_003501655379_12031.png,data/validate/02/2_fish_000010429596_03911.png,0,0,1
data/validate/01/1_fish_004540147360_22587.png,data/validate/01/1_fish_004105956731_08948.png,data/validate/03/3_fish_003620485639_14678.png,0,0,2
data/validate/01/1_fish_000007090001_00810.png,data/validate/01/1_fish_004135696774_19784.png,data/validate/02/2_fish_003505555383_23154.png,0,0,1
data/validate/01/1_fish_003843846191_16602.png,data/validate/01/1_fish_003645295716_12044.png,data/validate/03/3_fish_004598297454_16790.png,0,0,2
data/validate/01/1_fish_004474977255_13816.png,data/validate/01/1_fish_000116089598_07024.png,data/validate/04/4_fish_004285927001_22281.png,0,0,3
data/validate/01/1_fish_003814076124_19063.png,data/validate/01/1_fish_004539927360_12813.png,data/validate/04/4_fish_003903346329_09429.png,0,0,3
data/validate/01/1_fish_003552555472_15436.png,data/validate/01/1_fish_003496825374_10708.png,data/validate/05/5_fish_435464708705_15968.png,0,0,4
data/validate/01/1_fish_003525825417_12394.png,data/validate/01/1_fish_003515535414_18814.png,data/validate/04/4_fish_003856846226_23915.png,0,0,3
data/validate/01/1_fish_004571577407_25156.png,data/validate/01/1_fish_003814986124_14080.png,data/validate/02/2_fish_003568295517_17052.png,0,0,1
data/validate/01/1_fish_000099129598_06799.png,data/validate/01/1_fish_004535617356_22080.png,data/validate/05/5_fish_004515357318_13560.png,0,0,4
data/validate/01/1_fish_003962056475_15655.png,data/validate/01/1_fish_004265816971_20922.png,data/validate/03/3_fish_004201216866_23099.png,0,0,2
data/validate/01/1_fish_003832716168_20826.png,data/validate/01/1_fish_000026270001_02459.png,data/validate/04/4_fish_004172826828_19872.png,0,0,3
data/validate/01/1_fish_000005909598_05414.png,data/validate/01/1_fish_003695685806_24753.png,data/validate/03/3_fish_003474375342_12130.png,0,0,2
data/validate/01/1_fish_003490595366_15959.png,data/validate/01/1_fish_000113559598_07013.png,data/validate/05/5_fish_003571905521_11429.png,0,0,4
data/validate/01/1_fish_004410187147_17715.png,data/validate/01/1_fish_004176556832_10756.png,data/validate/04/4_fish_000001099599_07844.png,0,0,3
data/validate/01/1_fish_000010699598_05473.png,data/validate/01/1_fish_004093796722_09967.png,data/validate/05/5_fish_004191516853_19361.png,0,0,4
data/validate/01/1_fish_000010309598_05526.png,data/validate/01/1_fish_000004510001_00302.png,data/validate/02/2_fish_003739245908_26897.png,0,0,1
data/validate/01/1_fish_003524695417_22529.png,data/validate/01/1_fish_000017170001_01546.png,data/validate/03/3_fish_392615637903_16884.png,0,0,2
data/validate/01/1_fish_004571737407_20628.png,data/validate/01/1_fish_000022130001_02044.png,data/validate/03/3_fish_003871706248_14866.png,0,0,2
data/validate/01/1_fish_003433055293_16687.png,data/validate/01/1_fish_003813696123_24661.png,data/validate/04/4_fish_000044239598_05970.png,0,0,3
data/validate/01/1_fish_000000009598_05459.png,data/validate/01/1_fish_000027500001_03027.png,data/validate/04/4_fish_003399255233_23958.png,0,0,3
data/validate/01/1_fish_003384485218_26754.png,data/validate/01/1_fish_003633295671_21556.png,data/validate/03/3_fish_004563477390_13876.png,0,0,2
data/validate/01/1_fish_000004220001_00037.png,data/validate/01/1_fish_000164899598_07612.png,data/validate/03/3_fish_004214456890_22549.png,0,0,2
data/validate/01/1_fish_000086459598_06607.png,data/validate/01/1_fish_000024769597_05225.png,data/validate/05/5_fish_435464708705_21299.png,0,0,4
data/validate/01/1_fish_000014499598_05549.png,data/validate/01/1_fish_003497725374_13988.png,data/validate/03/3_fish_000045949596_04515.png,0,0,2
data/validate/01/1_fish_004571827407_17333.png,data/validate/01/1_fish_003803936104_22082.png,data/validate/05/5_fish_003390165224_25708.png,0,0,4
data/validate/01/1_fish_004286377003_11750.png,data/validate/01/1_fish_004128446758_12959.png,data/validate/03/3_fish_000035969596_04266.png,0,0,2
data/validate/01/1_fish_000022070001_01955.png,data/validate/01/1_fish_004120696751_20533.png,data/validate/05/5_fish_004496557272_18299.png,0,0,4
data/validate/01/1_fish_003843376191_17381.png,data/validate/01/1_fish_004584137425_13871.png,data/validate/05/5_fish_003590315584_21482.png,0,0,4
data/validate/01/1_fish_004461897244_16725.png,data/validate/01/1_fish_004573487411_14079.png,data/validate/03/3_fish_004517957321_14687.png,0,0,2
data/validate/01/1_fish_003800796101_20183.png,data/validate/01/1_fish_004573377411_18904.png,data/validate/04/4_fish_003875916262_20665.png,0,0,3
data/validate/01/1_fish_000004810001_00557.png,data/validate/01/1_fish_004571577407_25156.png,data/validate/02/2_fish_004461237245_13106.png,0,0,1
data/validate/01/1_fish_000004360001_00142.png,data/validate/01/1_fish_004161666811_12883.png,data/validate/04/4_fish_004237226932_15130.png,0,0,3
data/validate/01/1_fish_004598737455_08914.png,data/validate/01/1_fish_003425565286_25276.png,data/validate/05/5_fish_435464708705_21299.png,0,0,4
data/validate/01/1_fish_003446715305_14816.png,data/validate/01/1_fish_000004600001_00372.png,data/validate/02/2_fish_000005579596_03805.png,0,0,1
data/validate/01/1_fish_003391805225_27068.png,data/validate/01/1_fish_000005299598_05397.png,data/validate/02/2_fish_003739245908_26897.png,0,0,1
data/validate/01/1_fish_004577527417_24281.png,data/validate/01/1_fish_000004350001_00125.png,data/validate/05/5_fish_003424615280_21474.png,0,0,4
data/validate/01/1_fish_000172749598_07702.png,data/validate/01/1_fish_003766355999_26409.png,data/validate/04/4_fish_004336737054_09018.png,0,0,3
data/validate/01/1_fish_003658445752_27219.png,data/validate/01/1_fish_004573487411_14079.png,data/validate/04/4_fish_004525717335_19133.png,0,0,3
data/validate/01/1_fish_003658445752_21771.png,data/validate/01/1_fish_000013610001_01462.png,data/validate/03/3_fish_000034690001_03294.png,0,0,2
data/validate/01/1_fish_000033079597_05277.png,data/validate/01/1_fish_000026520001_02479.png,data/validate/05/5_fish_003752955961_19669.png,0,0,4
data/validate/01/1_fish_000022170001_02081.png,data/validate/01/1_fish_000024769597_05225.png,data/validate/05/5_fish_003461225323_19700.png,0,0,4
data/validate/01/1_fish_000004460001_00252.png,data/validate/01/1_fish_004176556832_10756.png,data/validate/04/4_fish_004101626728_15417.png,0,0,3
data/validate/01/1_fish_000121259598_07107.png,data/validate/01/1_fish_003489965366_19246.png,data/validate/03/3_fish_003920796366_23096.png,0,0,2
data/validate/01/1_fish_003909746343_22224.png,data/validate/01/1_fish_003645295716_12044.png,data/validate/02/2_fish_004148116796_24174.png,0,0,1
data/validate/01/1_fish_000017860001_01630.png,data/validate/01/1_fish_000022070001_01955.png,data/validate/03/3_fish_003515305414_10176.png,0,0,2
data/validate/01/1_fish_004376997110_10485.png,data/validate/01/1_fish_000172749598_07702.png,data/validate/05/5_fish_004283406991_15849.png,0,0,4
data/validate/01/1_fish_000000589598_05329.png,data/validate/01/1_fish_003814856124_20832.png,data/validate/05/5_fish_003588955576_19468.png,0,0,4
data/validate/01/1_fish_000004460001_00201.png,data/validate/01/1_fish_003549745470_18154.png,data/validate/04/4_fish_004205466876_16454.png,0,0,3
data/validate/01/1_fish_003815136124_25147.png,data/validate/01/1_fish_000009989597_05140.png,data/validate/02/2_fish_000066819596_04791.png,0,0,1
data/validate/01/1_fish_003817486126_24594.png,data/validate/01/1_fish_000036659598_05786.png,data/validate/05/5_fish_003924076368_15915.png,0,0,4
data/validate/01/1_fish_004455317220_20077.png,data/validate/01/1_fish_000107669598_06897.png,data/validate/03/3_fish_003809246114_22149.png,0,0,2
data/validate/01/1_fish_003968056494_27278.png,data/validate/01/1_fish_000004360001_00142.png,data/validate/02/2_fish_004355237091_26881.png,0,0,1
data/validate/01/1_fish_000017630001_01668.png,data/validate/01/1_fish_000027090001_02506.png,data/validate/04/4_fish_004101876728_23024.png,0,0,3
data/validate/01/1_fish_004521587324_22545.png,data/validate/01/1_fish_004126696756_16736.png,data/validate/05/5_fish_003481665355_19380.png,0,0,4
data/validate/01/1_fish_000000029598_05355.png,data/validate/01/1_fish_003690385794_24337.png,data/validate/04/4_fish_004101326728_10415.png,0,0,3
data/validate/01/1_fish_004573377411_18904.png,data/validate/01/1_fish_004584137425_13871.png,data/validate/02/2_fish_004160076811_24371.png,0,0,1
data/validate/01/1_fish_003501655379_12031.png,data/validate/01/1_fish_003849106201_08943.png,data/validate/04/4_fish_004086186713_19837.png,0,0,3
data/validate/01/1_fish_004295757022_15712.png,data/validate/01/1_fish_003554315478_24806.png,data/validate/04/4_fish_004173046828_14052.png,0,0,3
data/validate/01/1_fish_000007120001_00843.png,data/validate/01/1_fish_000022110001_02002.png,data/validate/02/2_fish_003470805337_15536.png,0,0,1
data/validate/01/1_fish_000017170001_01546.png,data/validate/01/1_fish_004461897244_16725.png,data/validate/05/5_fish_003588905576_24189.png,0,0,4
